probeID,car_id,passenger_id,timestamp,longtitude,latitude
0,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302267,108.94714,34.27961
1,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302270,108.94714,34.27961
2,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302273,108.94714,34.27943
3,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302276,108.94714,34.27943
4,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302279,108.94714,34.27943
5,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302282,108.94714,34.27943
6,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302285,108.94714,34.27943
7,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302288,108.94714,34.27943
8,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302291,108.94714,34.27943
9,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302294,108.94714,34.27943
10,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302297,108.94714,34.2794
11,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302300,108.94714,34.2794
12,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302306,108.94714,34.27915
13,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302309,108.94714,34.27915
14,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302312,108.94714,34.27901
15,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302315,108.94714,34.27901
16,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302318,108.94714,34.27901
17,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302321,108.94714,34.27901
18,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302327,108.94714,34.27901
19,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302330,108.94714,34.27901
20,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302333,108.94714,34.27901
21,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302336,108.94714,34.27888
22,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302339,108.94714,34.27888
23,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302342,108.94714,34.27888
24,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302345,108.94714,34.27881
25,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302348,108.94714,34.27881
26,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302351,108.94714,34.27861
27,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302357,108.94714,34.27836
28,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302360,108.94714,34.27818
29,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302363,108.94715,34.27801
30,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302366,108.94715,34.27783
31,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302369,108.94715,34.27773
32,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302372,108.94715,34.27755
33,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302375,108.94715,34.27745
34,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302378,108.94715,34.27728
35,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302381,108.94709,34.27715
36,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302387,108.94661,34.27676
37,003c3547a143a9a5f7b6a467827e13d8,df8969a6da01e0d34e3a5f17b76ec049,1475302390,108.94657,34.2767
